team,rating
Brazil,1841
Belgium,1816
Argentina,1773
France,1759
England,1728
Italy,1726
Spain,1715
Netherlands,1694
Portugal,1676
Denmark,1666
Germany,1650
Croatia,1645
Mexico,1644
Uruguay,1638
Switzerland,1635
USA,1627
Colombia,1611
Senegal,1584
Wales,1569
IR Iran,1564
Serbia,1563
Morocco,1563
Peru,1561
Japan,1559
Sweden,1553
Poland,1548
Ukraine,1536
Korea Republic,1530
Chile,1509
Tunisia,1507
Costa Rica,1503
Nigeria,1498
Russia,1496
Austria,1492
Czech Republic,1492
Hungary,1492
Algeria,1489
Australia,1488
Egypt,1486
Scotland,1479
Canada,1475
Norway,1473
Cameroon,1471
Ecuador,1464
Türkiye,1460
Mali,1448
Paraguay,1448
Côte d'Ivoire,1443
Republic of Ireland,1440